State,Facility Name,Facility ID,Unit ID,Associated Stacks,Year,Operating Time Count,Sum of the Operating Time,Gross Load (MWh),Steam Load (1000 lb),SO2 Mass (short tons),SO2 Rate (lbs/mmBtu),CO2 Mass (short tons),CO2 Rate (short tons/mmBtu),NOx Mass (short tons),NOx Rate (lbs/mmBtu),Heat Input (mmBtu),Primary Fuel Type,Secondary Fuel Type,Unit Type,SO2 Controls,NOx Controls,PM Controls,Hg Controls,Program Code
KY,R D Green,6639,G1,,2025,2908,2878.78,316376.79,,0.991,0.001,196254.399,0.0585,138.323,0.0796,3302518.164,Pipeline Natural Gas,,Dry bottom wall-fired boiler,,,,,"ARP, CSNOX, CSOSG2E, CSSO2G1, MATS"
KY,R D Green,6639,G1,,2026,826,811.27,71404.23,,0.269,0.001,53302.99,0.0591,38.897,0.0743,896894.225,Pipeline Natural Gas,,Dry bottom wall-fired boiler,,,,,"ARP, CSNOX, CSOSG2E, CSSO2G1, MATS"
KY,R D Green,6639,G2,,2024,3151,3109.9,345943.53,,1.132,0.001,224169.051,0.0594,169.302,0.0801,3772057.267,Pipeline Natural Gas,,Dry bottom wall-fired boiler,,,,,"ARP, CSNOX, CSOSG2E, CSSO2G1, MATS"
KY,R D Green,6639,G2,,2025,3766,3740.14,517865.31,,1.757,0.001,348092.219,0.0591,251.136,0.0852,5857350.134,Pipeline Natural Gas,,Dry bottom wall-fired boiler,,,,,"ARP, CSNOX, CSOSG2E, CSSO2G1, MATS"
KY,R D Green,6639,G2,,2026,799,789.71,89844.54,,0.321,0.001,63600.718,0.0591,46.626,0.077,1070192.173,Pipeline Natural Gas,,Dry bottom wall-fired boiler,,,,,"ARP, CSNOX, CSOSG2E, CSSO2G1, MATS"
KY,D B Wilson,6823,W1,,2024,7027,7009.97,2732023.93,,3017.389,0.201,2952000.564,0.103,1985.637,0.1342,28771911.054,Coal,,Dry bottom wall-fired boiler,Wet Limestone,Selective Catalytic Reduction|Low NOx Burner Technology (Dry Bottom only),Electrostatic Precipitator,,"ARP, CSNOX, CSOSG2E, CSSO2G1, MATS"
KY,D B Wilson,6823,W1,,2025,6982,6949.58,2578370.7,,4478.516,0.3,2887362.167,0.103,2233.745,0.1554,28141974.92,Coal,,Dry bottom wall-fired boiler,Wet Limestone,Selective Catalytic Reduction|Low NOx Burner Technology (Dry Bottom only),Electrostatic Precipitator,,"ARP, CSNOX, CSOSG2E, CSSO2G1, MATS"
KY,D B Wilson,6823,W1,,2026,2387,2366.26,690412.8,,682.887,0.1651,837569.731,0.1029,1022.946,0.2258,8163438.746,Coal,,Dry bottom wall-fired boiler,Wet Limestone,Selective Catalytic Reduction|Low NOx Burner Technology (Dry Bottom only),Electrostatic Precipitator,,"ARP, CSNOX, CSOSG2E, CSSO2G1, MATS"
KY,Bluegrass Generating Station,55164,GTG1,,2024,548,469.84,56380.31,,0.198,0.001,39515.374,0.0591,22.93,0.0723,664504.198,Pipeline Natural Gas,Diesel Oil,Combustion turbine,,Dry Low NOx Burners|Selective Catalytic Reduction,,,"ARP, CSNOX, CSOSG2E, CSSO2G1"
KY,Bluegrass Generating Station,55164,GTG1,,2025,815,717.0,91047.06,,0.316,0.001,62826.894,0.0592,37.591,0.0729,1055063.159,Pipeline Natural Gas,Diesel Oil,Combustion turbine,,Dry Low NOx Burners|Selective Catalytic Reduction,,,"ARP, CSNOX, CSOSG2E, CSSO2G1"
KY,Bluegrass Generating Station,55164,GTG1,,2026,342,314.29,47110.3,,0.158,0.001,31276.3,0.0597,20.592,0.0814,522218.247,Pipeline Natural Gas,Diesel Oil,Combustion turbine,,Dry Low NOx Burners|Selective Catalytic Reduction,,,"ARP, CSNOX, CSOSG2E, CSSO2G1"
KY,Bluegrass Generating Station,55164,GTG2,,2024,205,165.54,18793.98,,0.067,0.001,13383.925,0.0599,7.424,0.0739,224401.514,Pipeline Natural Gas,Diesel Oil,Combustion turbine,,Dry Low NOx Burners|Selective Catalytic Reduction,,,"ARP, CSNOX, CSOSG2E, CSSO2G1"
KY,Bluegrass Generating Station,55164,GTG2,,2025,677,596.3,77078.39,,0.266,0.001,52890.288,0.0592,33.635,0.0773,887602.606,Pipeline Natural Gas,Diesel Oil,Combustion turbine,,Dry Low NOx Burners|Selective Catalytic Reduction,,,"ARP, CSNOX, CSOSG2E, CSSO2G1"
KY,Bluegrass Generating Station,55164,GTG2,,2026,321,297.36,45062.51,,0.15,0.001,29834.489,0.0597,21.742,0.0893,497942.389,Pipeline Natural Gas,Diesel Oil,Combustion turbine,,Dry Low NOx Burners|Selective Catalytic Reduction,,,"ARP, CSNOX, CSOSG2E, CSSO2G1"
KY,Bluegrass Generating Station,55164,GTG3,,2024,373,318.79,38796.58,,0.134,0.001,26819.743,0.0592,17.94,0.0815,450869.336,Pipeline Natural Gas,Diesel Oil,Combustion turbine,,Dry Low NOx Burners,,,"ARP, CSNOX, CSOSG2E, CSSO2G1"
KY,Bluegrass Generating Station,55164,GTG3,,2025,416,344.63,41423.42,,0.145,0.001,28892.896,0.0603,17.161,0.0693,484146.474,Pipeline Natural Gas,Diesel Oil,Combustion turbine,,Dry Low NOx Burners,,,"ARP, CSNOX, CSOSG2E, CSSO2G1"
KY,Bluegrass Generating Station,55164,GTG3,,2026,48,36.94,4234.28,,0.015,0.001,3019.556,0.0614,1.496,0.0681,50290.586,Pipeline Natural Gas,Diesel Oil,Combustion turbine,,Dry Low NOx Burners,,,"ARP, CSNOX, CSOSG2E, CSSO2G1"
KY,Riverside Generating Company,55198,GTG101,,2024,1112,996.92,143506.06,,0.495,0.001,98125.984,0.059,44.0,0.056,1651151.369,Pipeline Natural Gas,,Combustion turbine,,Dry Low NOx Burners,,,"ARP, CSNOX, CSOSG2E, CSSO2G1"
KY,Riverside Generating Company,55198,GTG101,,2025,1564,1403.65,193253.08,,0.657,0.001,130212.082,0.059,60.371,0.0572,2191075.243,Pipeline Natural Gas,,Combustion turbine,,Dry Low NOx Burners,,,"ARP, CSNOX, CSOSG2E, CSSO2G1"
KY,Riverside Generating Company,55198,GTG101,,2026,516,479.48,67151.9,,0.233,0.001,46239.615,0.0589,18.668,0.0491,778049.162,Pipeline Natural Gas,,Combustion turbine,,Dry Low NOx Burners,,,"ARP, CSNOX, CSOSG2E, CSSO2G1"
KY,Riverside Generating Company,55198,GTG201,,2024,909,817.7,118632.74,,0.405,0.001,80276.474,0.059,34.184,0.0519,1350810.942,Pipeline Natural Gas,,Combustion turbine,,Dry Low NOx Burners,,,"ARP, CSNOX, CSOSG2E, CSSO2G1"
KY,Riverside Generating Company,55198,GTG201,,2025,834,751.96,110099.16,,0.366,0.001,72420.703,0.059,31.252,0.0545,1218627.833,Pipeline Natural Gas,,Combustion turbine,,Dry Low NOx Burners,,,"ARP, CSNOX, CSOSG2E, CSSO2G1"
KY,Riverside Generating Company,55198,GTG201,,2026,531,486.81,68026.86,,0.234,0.001,46350.764,0.059,21.458,0.0582,779940.715,Pipeline Natural Gas,,Combustion turbine,,Dry Low NOx Burners,,,"ARP, CSNOX, CSOSG2E, CSSO2G1"
